country,capital,name,xid,kinds,wikipedia_extracts,clear_link,category,latitude,longitude
China,Beijing,Bell Tower,R7301355,"towers,architecture,interesting_places,bell_towers","La tour de la cloche (en chinois : 鐘樓/钟楼, en pinyin : Zhōnglóu) est située sur l'extrémité nord de l'axe central de la vieille ville tartare de Pékin, au nord de la rue Di’anmen. Elle se situe un peu au nord de la tour du tambour. Elle abrite la plus grande et lourde cloche de Chine (7 mètres pour 63 tonnes, qui pouvait être entendue à une distance de 20 km).",https://upload.wikimedia.org/wikipedia/commons/9/95/Beijingbelltower1.jpg,towers,39.94104,116.389587
China,Beijing,Lu Xun Museum,W447939893,"museums,cultural,interesting_places,other_museums","The Beijing Lu Xun Museum (Chinese: 北京鲁迅博物馆) is a museum in Fucheng Gate Avenue, Beijing, China. The buildings in which the museum situated at was Lu Xun's former Beijing residence. The writer's house museum was established in 1956. The museum is dedicated to Lu Xun's life and achievements and features large quantities of scripts, photos, pictures related to Lu. In addition to materials related to Lu Xun, the museum contains a large collection of artworks.",https://upload.wikimedia.org/wikipedia/commons/6/64/Luxunguju.JPG,museums,39.924419,116.352386
China,Beijing,Guanghua Temple,Q379381,"religion,buddhist_temples,interesting_places","Guanghua Temple (simplified Chinese: 广化寺; traditional Chinese: 廣化寺; pinyin: Guǎnghuā Sì) is a Buddhist temple located at 31 Ya'er Hutong, north of Shichahai in the Xicheng District of Beijing, China. Founded during the Yuan dynasty (1271–1368), it is one of Beijing's most renowned Buddhist temples.",https://upload.wikimedia.org/wikipedia/commons/5/57/Guanghua_temple.JPG,religion,39.941036,116.390503
China,Beijing,Former Residence of Soong Ching-Ling,W30835241,"museums,cultural,interesting_places,other_museums","The Former Residence of Soong Ching Ling (Chinese: 宋庆龄故居; pinyin: Sòng Qìnglíng Gùjū) is a museum in the Shichahai area of Beijing, China, and once was the last residence of Soong Ching-ling, the wife of Sun Yat-sen and later Vice-President and Honorary President of the People's Republic of China in 1981. The museum opened in 1982, was renovated in 2009, and is dedicated to her memory.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Sqlgj_men.JPG,museums,39.944153,116.37709
China,Beijing,Asbury Church,Q751648,"religion,churches,interesting_places,other_churches",亚斯立堂（英语：Asbury Church）即北京基督教会崇文门堂，是位于北京市东城区崇文门内后沟胡同丁2号的一所基督教堂，是北京市目前最古老的一座基督教新教教堂，也是一所涉外的教堂，在国内外享有一定声誉。,https://upload.wikimedia.org/wikipedia/commons/e/ee/Chongwenmen_Church.jpg,religion,39.90139,116.414169
China,Beijing,Ancestral Temple for Wen Tianxiang,Q11079676,"museums,cultural,interesting_places,other_museums",文天祥祠，位于中华人民共和国北京市东城区府学胡同63号，是一处祭祀文天祥的祠庙。该祠庙始建于明朝洪武九年（1376年），原址为元代的兵马司狱。万历年间时，该祠庙曾有过搬迁，此后历代均有修缮。文天祥祠为两进院落结构，主要建筑为大门、过厅和享堂。2013年，文天祥祠被列为全国重点文物保护单位。,https://upload.wikimedia.org/wikipedia/commons/3/38/Wenchengxiangci.JPG,museums,39.935974,116.410126
China,Beijing,Temple of the Moon,Q680679,"religion,other_temples,interesting_places","The Temple of the Moon (Chinese: 月坛/月壇, Pinyin: Yuètán) is an altar located in Fuchengmen, Xicheng District, in western Beijing, China. The altar was built in 1530 during the Ming Dynasty for use in ritual sacrifice to the Moon by the Emperor of China.The altar and the surrounding grounds are within a public park. The altar itself is no longer intact, though the surrounding walls remain.",https://upload.wikimedia.org/wikipedia/commons/4/42/Bell_Tower%28Temple_of_Moon%29.JPG,religion,39.915867,116.346008
China,Beijing,Temple of Wisdom Attained,W40542154,"religion,buddhist_temples,historic,monuments_and_memorials,interesting_places,monuments","The Zhihua Temple (智化寺; pinyin: Zhìhuà Sì; lit. ""Temple of Wisdom Attained"") is a Ming dynasty-era Buddhist temple in Beijing, China. It is located in the Lumicang (禄米仓) hutong, in the Chaoyangmen area of Dongcheng District, within the Second Ring Road to the north of Jinbaojie Street, west of the Yabaolu area. The temple was built in 1443 at the order of Wang Zhen, a powerful eunuch in the Rites Supervising Office of the court of the Zhengtong Emperor (also known as Emperor Yingzong; reigned 1436-1449 and 1457-1464).",https://upload.wikimedia.org/wikipedia/commons/5/5d/Zhihua_temple_entrance.jpg,religion,39.916348,116.426094
China,Beijing,Fa Yuan Temple,W30834367,"religion,buddhist_temples,gardens_and_parks,urban_environment,cultural,interesting_places","The Fayuan Temple (Chinese: 法源寺; pinyin: Fǎyuán Sì), situated in the southwest quarter of central Beijing, is one of the city's oldest and most renowned Buddhist temples.",https://upload.wikimedia.org/wikipedia/commons/4/40/Fa_yuan_temple02.jpg,religion,39.883511,116.363808
China,Beijing,Bailin Temple,W656351646,"religion,buddhist_temples,monasteries,interesting_places","The Bailin Temple (Chinese: 柏林寺; pinyin: Bǎilín Sì), also known as the ""Monastery of the Cypress Grove"", is a Tibetan Buddhist temple and monastery located in Beijing, China.",https://upload.wikimedia.org/wikipedia/commons/9/93/Cypress_tree_in_Bai_Lin_Temple.jpg,religion,39.94479,116.413689
China,Beijing,Yonghegong Lama Temple,N5305505987,"industrial_facilities,railway_stations,religion,monasteries,interesting_places","The Yonghe Temple (Chinese: 雍和宫, ""Palace of Peace and Harmony""), also known as the Yonghe Lamasery, or popularly as the Lama Temple, is a temple and monastery of the Gelug school of Tibetan Buddhism located in Dongcheng District, Beijing, China. The building and artwork of the temple is a combination of Han Chinese and Tibetan styles.",https://upload.wikimedia.org/wikipedia/commons/9/98/Pavillon_des_dix_mille_bonheurs.jpg,industrial_facilities,39.946972,116.410164
China,Beijing,Niujie Mosque,W30784907,"religion,mosques,interesting_places","The Niujie Mosque (simplified Chinese: 牛街礼拜寺; traditional Chinese: 牛街禮拜寺; pinyin: Niújiē lǐbàisì; Wade–Giles: Niu-chieh Li-pai-ssu ""Oxen Street House of Worship"" or Chinese: 牛街清真寺; pinyin: Niújiē Qīngzhēnsì; Wade–Giles: Niu-chieh Ch'ing-chen-ssu ""Oxen Street Mosque"") is the oldest mosque in Beijing, China. It was first built in 996 during the Liao Dynasty and was reconstructed as well as enlarged under the Kangxi Emperor (r. 1661-1722) of the Qing Dynasty.",https://upload.wikimedia.org/wikipedia/commons/5/5a/Niujie_Mosque_-_CIMG3716.JPG,religion,39.884373,116.358414
China,Beijing,Yonghegong Lama Temple,N5305505988,"industrial_facilities,railway_stations,religion,monasteries,interesting_places","The Yonghe Temple (Chinese: 雍和宫, ""Palace of Peace and Harmony""), also known as the Yonghe Lamasery, or popularly as the Lama Temple, is a temple and monastery of the Gelug school of Tibetan Buddhism located in Dongcheng District, Beijing, China. The building and artwork of the temple is a combination of Han Chinese and Tibetan styles.",https://upload.wikimedia.org/wikipedia/commons/9/98/Pavillon_des_dix_mille_bonheurs.jpg,industrial_facilities,39.947926,116.411545
China,Beijing,Hall of Prayer for Good Harvests,W43921139,"religion,other_temples,museums,cultural,interesting_places,other_museums","The Temple of Heaven (Chinese: 天壇; pinyin: Tiāntán) is an imperial complex of religious buildings situated in the southeastern part of central Beijing. The complex was visited by the Emperors of the Ming and Qing dynasties for annual ceremonies of prayer to Heaven for good harvest. It has been regarded as a Taoist temple, although Chinese heaven worship, especially by the reigning monarch of the day, predates Taoism.",https://upload.wikimedia.org/wikipedia/commons/b/b7/Hall_of_Prayer_for_Good_Harvest.JPG,religion,39.882244,116.406662
China,Beijing,White Cloud Temple,N1977226465,"religion,other_temples,interesting_places","The White Cloud Temple or the Monastery of the White Clouds (simplified Chinese: 白云观; traditional Chinese: 白雲觀; pinyin: Bái Yún Gùan; literally: ""White Cloud Compound"") is a Daoist temple located in Beijing, China. It is one of ""The Three Great Ancestral Courts"" of the Quanzhen School of Daoism, and is titled ""The First Temple under Heaven"".",https://upload.wikimedia.org/wikipedia/commons/0/0d/WhiteCloudpic1.jpg,religion,39.898911,116.33754
China,Beijing,Pagoda of Tianning Temple,W532863319,"religion,other_temples,interesting_places",天宁寺塔，位于北京市西城区天宁寺内，是一座八角砖木结构的密檐式佛塔。该塔始建于隋代，而現存保留的是辽代的砖石结构佛塔，在明清年间均有维修。雖然歷史文獻記天宁寺塔為隋代建造，林徽因、梁思成首先以科學方法斷定天宁寺是辽代建造的。1991年至1992年时曾整体修缮，修繕中发现了辽代建塔时的记事碑，从而确定了确切的建塔时间及塔名。1988年被列为全国重点文物保护单位。,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tianning_Pagoda_1.JPG,religion,39.893738,116.339783
China,Beijing,Temple of Agriculture,Q341718,"museums,cultural,interesting_places,other_museums","Temple of Agriculture (simplified Chinese: 先农坛; traditional Chinese: 先農壇; pinyin: xiān nóng tán) or Altar of Agriculture is a historic site in Xuanwu District of Beijing, China, and located near the Temple of Heaven.",https://upload.wikimedia.org/wikipedia/commons/d/d8/Xiannongtan_pic_1.jpg,museums,39.875401,116.387398
China,Beijing,Xihuang Temple,Q1378964,"religion,buddhist_temples,interesting_places","Xihuang Temple (simplified Chinese: 西黄寺; traditional Chinese: 西黃寺; pinyin: Xīhuáng Sì) is a Buddhist temple located in Chaoyang District, Beijing.",https://upload.wikimedia.org/wikipedia/commons/0/08/Marmorpagode_im_Huang-sze%2C_vom_Kaiser_Shunchih_1650_errichtet%2C_zum_Andenken_an_den_in_Peking_verstarbenen_Dalai_Lama_Navang_Lobsang_1.jpg,religion,39.963055,116.384163
China,Beijing,Yandun,W464738356,"historic,monuments_and_memorials,interesting_places,monuments",燕墩，俗称烟墩，位于北京市东城區永定门外铁路桥南侧。,https://upload.wikimedia.org/wikipedia/commons/2/2a/Yandun1.JPG,historic,39.867329,116.392761
China,Beijing,Five Pagoda Temple,W352165031,"religion,buddhist_temples,interesting_places","The Five Pagoda Temple (Chinese: 五塔寺; pinyin: Wǔ Tǎ Sì), formally known as the ""Temple of the Great Righteous Awakening"" (simplified Chinese: 大真觉寺; traditional Chinese: 大真覺寺; pinyin: Dà Zhēnjué Sì) or ""Zhenjue Temple"" (Chinese: 真觉寺; Chinese: 真覺寺; pinyin: Zhēnjué Sì) for short, is a Ming dynasty Buddhist temple located in Haidian District, Beijing, China.",https://upload.wikimedia.org/wikipedia/commons/f/f3/Zjs.jpg,religion,39.943638,116.323753
China,Beijing,Big Bell Temple,Q1242684,"religion,buddhist_temples,interesting_places","The Big Bell Temple, or Da Zhong Temple (simplified Chinese: 大钟寺; traditional Chinese: 大鐘寺; pinyin: Dàzhōng Sì), originally known as Jue Sheng Temple (simplified Chinese: 觉生寺; traditional Chinese: 覺生寺; pinyin: Juéshēng Sì), is a Buddhist temple located on North 3rd Road in Beijing, China.",https://upload.wikimedia.org/wikipedia/commons/f/f6/Entrance_of_Big_Bell_Temple.jpg,religion,39.968708,116.344299
China,Beijing,Pagoda of Cishou Temple,Q2562938,"religion,other_temples,interesting_places","The Pagoda of Cishou Temple (simplified Chinese: 慈寿寺塔; traditional Chinese: 慈壽寺塔; pinyin: Císhòu Sì Tǎ), originally known as Yong'anwanshou Pagoda (永安万寿塔; 永安萬壽塔; Yǒng'ān Wànshòu Tǎ), is a 16th-century stone and brick Chinese pagoda located in the Buddhist Cishou Temple of Balizhuang, a suburb of Beijing.",https://upload.wikimedia.org/wikipedia/commons/6/61/Cishou_Temple_Pagoda.JPG,religion,39.926807,116.289307
China,Beijing,Old Summer Palace,W24827108,"historic_architecture,architecture,gardens_and_parks,urban_environment,cultural,interesting_places,natural,nature_reserves,destroyed_objects,other_nature_conservation_areas","The Old Summer Palace, known in Chinese as Yuanming Yuan (圆明园; 圓明園; Yuánmíng Yuán; ""Gardens of Perfect Brightness""), and originally called the Imperial Gardens (御园; 御園; Yù Yuán), was a complex of palaces and gardens in present-day Haidian District, Beijing, China. It is located 8 kilometres (5.0 mi) northwest of the walls of the former Imperial City section of Beijing. Constructed throughout the 18th and early 19th centuries, the Old Summer Palace was the main imperial residence of Qianlong Emperor of the Qing dynasty and his successors, and where they handled state affairs; the Forbidden City was used for formal ceremonies. Widely conceived as the pinnacle work of Chinese imperial garden and palace design, the Old Summer Palace was an architectural wonder, known for its extensive collection of gardens, its building architecture and numerous art and historical treasures. It was reputed as the ""Garden of Gardens"" (万园之园; 萬園之園; wàn yuán zhī yuán) in its heyday.",https://upload.wikimedia.org/wikipedia/commons/a/a7/Yuanmingyuan2.jpg,historic_architecture,40.00489,116.29483
China,Beijing,Summer Palace,W29228773,"gardens_and_parks,urban_environment,cultural,interesting_places","The Summer Palace (Chinese: 頤和園; pinyin: Yíhéyuán), is a vast ensemble of lakes, gardens and palaces in Beijing. It was an imperial garden in Qing Dynasty. Mainly dominated by Longevity Hill (万寿山; 萬壽山; Wànshòu Shān) and Kunming Lake, it covers an expanse of 2.9 square kilometres (1.1 sq mi), three-quarters of which is water.Longevity Hill is about 60 m (200 ft) high and has many buildings positioned in sequence. The front hill is rich with splendid halls and pavilions, while the back hill, in sharp contrast, is quiet with natural beauty. The central Kunming Lake, covering 2.2 square kilometres (540 acres), was entirely man-made and the excavated soil was used to build Longevity Hill.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Scenery_of_Longevity_Hill.JPG,gardens_and_parks,39.990097,116.264732
China,Beijing,Summer Palace,N6385011810,"historic_architecture,palaces,architecture,interesting_places","The Summer Palace (Chinese: 頤和園; pinyin: Yíhéyuán), is a vast ensemble of lakes, gardens and palaces in Beijing. It was an imperial garden in Qing Dynasty. Mainly dominated by Longevity Hill (万寿山; 萬壽山; Wànshòu Shān) and Kunming Lake, it covers an expanse of 2.9 square kilometres (1.1 sq mi), three-quarters of which is water.Longevity Hill is about 60 m (200 ft) high and has many buildings positioned in sequence. The front hill is rich with splendid halls and pavilions, while the back hill, in sharp contrast, is quiet with natural beauty. The central Kunming Lake, covering 2.2 square kilometres (540 acres), was entirely man-made and the excavated soil was used to build Longevity Hill.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Scenery_of_Longevity_Hill.JPG,historic_architecture,39.997936,116.26799
China,Beijing,Marco Polo Bridge,W27035564,"bridges,architecture,interesting_places,stone_bridges","The Marco Polo Bridge or Lugou Bridge is a stone bridge located 15 km southwest of Beijing city center in the Fengtai District. It bridges the Yongding River, a major tributary of Hai River. Situated at the eastern end of the bridge is the Wanping Fortress, a historic 17th-century fortress, with the Museum of the War of Chinese People's Resistance Against Japanese Aggression inside.In recent years, the water of Yongding River has been diverted to different areas of Beijing so often there is no water under the bridge.",https://upload.wikimedia.org/wikipedia/commons/7/7a/Lugouqiao2.jpg,bridges,39.849003,116.212936
China,Beijing,Wofo Temple,W225747903,"religion,buddhist_temples,interesting_places","Wofo Temple (Chinese: 卧佛寺; pinyin: Wòfó Sì) is a Buddhist temple located near the Beijing Botanical Garden 20 kilometres (12 mi) from the center of Beijing. The temple is best known as the location of the 'Recumbent Buddha', a large sculpture of the Buddha lying down created in 1321.",https://upload.wikimedia.org/wikipedia/commons/5/5d/Wofo_Temple_Gate.JPG,religion,40.006245,116.201332
China,Beijing,Fragrant Hills,R8758884,"gardens_and_parks,urban_environment,cultural,interesting_places","Fragrant Hills Park (Xiangshan Park; Chinese: 香山公园; pinyin: Xiāngshān Gōngyuán) is an imperial garden at the foot of the Western Mountains in the Haidian District, in the northwestern part of Beijing, China. It was also formerly known as Jingyi Garden or ""Jingyiyuan"" (靜宜園). It covers 1.6 km² (395 acres) and consists of a natural pine-cypress forest, hills with maple trees, smoke trees and persimmon trees, as well as landscaped areas with traditional architecture and cultural relics. The name derives from the park's highest peak, Xianglu Feng (Incense Burner Peak), a 557 meters (1827 ft) hill with two large stones resembling incense burners at the top.",https://upload.wikimedia.org/wikipedia/commons/3/33/%E9%A6%99%E5%B1%B1%E5%8B%A4%E6%94%BF%E6%AE%BF.jpg,gardens_and_parks,39.989426,116.181351
China,Beijing,Temple of Azure Clouds,W643628157,"religion,buddhist_temples,interesting_places","The Temple of Azure Clouds (Chinese: 碧云寺; pinyin: Bìyún Sì), or Biyun Temple, is a Buddhist temple located in the eastern part of the Western Hills, just outside the north gate of Fragrant Hills Park (Xiangshan Gongyuan), in the Haidian District, a northwestern suburb of Beijing, China, approximately 20 km from the city center. It was built in the 14th century (possibly in 1331), during the Yuan dynasty (1271–1368) and was expanded in 1748.",https://upload.wikimedia.org/wikipedia/commons/6/63/Bys.jpg,religion,39.996567,116.184402
China,Beijing,Fahai Temple,N271822412,"religion,buddhist_temples,interesting_places","The Fahai Temple (Chinese: 法海寺; pinyin: Fǎhǎi Sì; धर्म समुद्र विहार Dharma Samudra Vihāra) is Ming Dynasty Buddhist temple located at the foot of Cuiwei Mountain, about two kilometers to the north-east of Moshikou, Shijingshan District, Beijing, China.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Fahai_Temple-the_Hall_of_Mahavira.JPG,religion,39.939541,116.153389
China,Beijing,Fahaisi (Fahai Temple),N4960032032,"religion,buddhist_temples,museums,cultural,interesting_places,other_museums","The Fahai Temple (Chinese: 法海寺; pinyin: Fǎhǎi Sì; धर्म समुद्र विहार Dharma Samudra Vihāra) is Ming Dynasty Buddhist temple located at the foot of Cuiwei Mountain, about two kilometers to the north-east of Moshikou, Shijingshan District, Beijing, China.",https://upload.wikimedia.org/wikipedia/commons/1/1f/Fahai_Temple-the_Hall_of_Mahavira.JPG,religion,39.939552,116.153381
Finland,Helsinki,Helsinki Synagogue,W481680523,"religion,synagogues,interesting_places","Helsinki Synagogue (Helsingin synagoga in Finnish, Helsingfors synagoga in Swedish) in the city of Helsinki (Helsingfors) is one of the two synagogues in Finland. Located in the Kamppi (Kampen) district, the synagogue is used by the 1,200-strong Jewish community of Helsinki. The synagogue building, designed by the Viipuri-born architect Jac. Ahrenberg (1847-1914), was completed in 1906.",https://upload.wikimedia.org/wikipedia/commons/f/f1/Helsinki_synagogue.jpg,religion,60.167576,24.928583
Finland,Helsinki,Domus Litonii,Q23040121,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Domus Litonii eli Litoniuksen talo on Helsingin keskustassa osoitteessa Aleksanterinkatu 50 sijaitseva nelikerroksinen empiretyylinen asuin-, liike- ja toimistotalo, johon liittyy matalampi basaarisiipi. Talon suunnitteli muurarimestari Gustaf Leander, ja se rakennettiin 1845–1847. Myöhemmin taloon on rakennettu pihasiivet 1877 ja 1880 ja Keskuskadun puolelle matala arkkitehti Valter Jungin suunnittelema basaarisiipi 1929. Talon Aleksanterinkadun puoleinen julkisivu on modernisoitu vuonna 1936. Talon rakennutti verhoilijamestari ja huonekalutehtailija Jonas Litonius (1810–1864), ja talossa asuu ja talon omistajina on edelleen Litoniuksen sukua.",https://upload.wikimedia.org/wikipedia/commons/3/3b/Domus_Litonii.jpg,historic_architecture,60.168716,24.943398
Finland,Helsinki,Helsinki Parliament House,W158575956,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Parliament House (Finnish: Eduskuntatalo, Swedish: Riksdagshuset) is the seat of the Parliament of Finland. It is located in the Finnish capital Helsinki, in the district of Töölö.",https://upload.wikimedia.org/wikipedia/commons/6/6f/Helsinki_July_2013-21.jpg,historic_architecture,60.172607,24.932922
Finland,Helsinki,Helsinki,N25474663,"industrial_facilities,railway_stations,interesting_places","Helsinki Central Station (Finnish: Helsingin päärautatieasema, Swedish: Helsingfors centralstation) HEC is the main station for commuter rail and long-distance trains departing from Helsinki, Finland. The station is used by approximately 400,000 people per day, of which about 200,000 are passengers. It serves as the terminus for all trains in the Helsinki commuter rail network, as well as for all Helsinki-bound long-distance trains in Finland. The Central Railway Station metro station is located in the same building.The station building was designed by Eliel Saarinen and inaugurated in 1919. Helsinki Central was chosen as one of the world's most beautiful railway stations by BBC in 2013.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Helsinki_Railway_Station_20050604.jpg,industrial_facilities,60.171253,24.941439
Finland,Helsinki,Helsinki Central Railway Station,W122595198,"industrial_facilities,railway_stations,interesting_places","Helsinki Central Station (Finnish: Helsingin päärautatieasema, Swedish: Helsingfors centralstation) HEC is the main station for commuter rail and long-distance trains departing from Helsinki, Finland. The station is used by approximately 400,000 people per day, of which about 200,000 are passengers. It serves as the terminus for all trains in the Helsinki commuter rail network, as well as for all Helsinki-bound long-distance trains in Finland. The Central Railway Station metro station is located in the same building.The station building was designed by Eliel Saarinen and inaugurated in 1919. Helsinki Central was chosen as one of the world's most beautiful railway stations by BBC in 2013.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Helsinki_Railway_Station_20050604.jpg,industrial_facilities,60.171619,24.940586
Finland,Helsinki,Ateneum Bistro,N4518279089,"historic_architecture,architecture,museums,cultural,interesting_places,restaurants,foods,art_galleries,tourist_facilities,other_buildings_and_structures","Ateneum is an art museum in Helsinki, Finland and one of the three museums forming the Finnish National Gallery. It is located in the centre of Helsinki on the south side of Rautatientori square close to Helsinki Central railway station. It has the biggest collections of classical art in Finland. Previously the Ateneum building also housed the Finnish Academy of Fine Arts and University of Art and Design Helsinki, but has solely been a museums since 1991. The Ateneum building is owned by Senate Properties (Finnish: Senaatti-kiinteistöt), the government real estate provider.An Ability Guidebook I Am Going To The Ateneum! was created by Brett Bigham to help people with autism visit the museum.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Ateneumin_taidemuseo%2C_Helsinki.jpg,historic_architecture,60.170036,24.9438
Finland,Helsinki,Ateneum,W8033120,"museums,cultural,interesting_places,art_galleries","Ateneum is an art museum in Helsinki, Finland and one of the three museums forming the Finnish National Gallery. It is located in the centre of Helsinki on the south side of Rautatientori square close to Helsinki Central railway station. It has the biggest collections of classical art in Finland. Previously the Ateneum building also housed the Finnish Academy of Fine Arts and University of Art and Design Helsinki, but has solely been a museums since 1991. The Ateneum building is owned by Senate Properties (Finnish: Senaatti-kiinteistöt), the government real estate provider.An Ability Guidebook I Am Going To The Ateneum! was created by Brett Bigham to help people with autism visit the museum.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Ateneumin_taidemuseo%2C_Helsinki.jpg,museums,60.170017,24.944067
Finland,Helsinki,Fasade decoration of Ateneum,N5301167925,"museums,urban_environment,cultural,interesting_places,art_galleries,sculptures","Ateneum is an art museum in Helsinki, Finland and one of the three museums forming the Finnish National Gallery. It is located in the centre of Helsinki on the south side of Rautatientori square close to Helsinki Central railway station. It has the biggest collections of classical art in Finland. Previously the Ateneum building also housed the Finnish Academy of Fine Arts and University of Art and Design Helsinki, but has solely been a museums since 1991. The Ateneum building is owned by Senate Properties (Finnish: Senaatti-kiinteistöt), the government real estate provider.An Ability Guidebook I Am Going To The Ateneum! was created by Brett Bigham to help people with autism visit the museum.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Ateneumin_taidemuseo%2C_Helsinki.jpg,museums,60.170261,24.944181
Finland,Helsinki,Eduskuntatalo,N2280742211,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","The Parliament House (Finnish: Eduskuntatalo, Swedish: Riksdagshuset) is the seat of the Parliament of Finland. It is located in the Finnish capital Helsinki, in the district of Töölö.",https://upload.wikimedia.org/wikipedia/commons/6/6f/Helsinki_July_2013-21.jpg,historic_architecture,60.173271,24.933418
Finland,Helsinki,Rock Church,W124143121,"religion,churches,interesting_places,other_churches","Temppeliaukio Church (Finnish: Temppeliaukion kirkko, Swedish: Tempelplatsens kyrka) is a Lutheran church in the Töölö neighborhood of Helsinki. The church was designed by architects and brothers Timo and Tuomo Suomalainen and opened in 1969. Built directly into solid rock, it is also known as the Church of the Rock and Rock Church.",https://upload.wikimedia.org/wikipedia/commons/6/62/Temppeliaukio_Church_3.jpg,religion,60.172958,24.925226
Finland,Helsinki,Museum of Finnish Architecture,W22499919,"museums,cultural,interesting_places,art_galleries","The Museum of Finnish Architecture (Finnish: Suomen arkkitehtuurimuseo, Swedish: Finlands arkitekturmuseum) is an architectural museum in Helsinki, Finland. Established in 1956, it is the second oldest museum of its kind (after Moscow) devoted specifically to architecture. The museum was founded on the basis of the photographic collection of the Finnish Association of Architects (SAFA), which was established in 1949.",https://upload.wikimedia.org/wikipedia/commons/9/9e/Kasarmikatu_24_Helsinki.jpg,museums,60.163116,24.947737
Finland,Helsinki,Aleksanterinkatu,Q1402724,"cultural,urban_environment,interesting_places,squares","Aleksanterinkatu (Swedish: Alexandersgatan) is a street in the centre of Helsinki, Finland. In the city plan by Carl Ludvig Engel, it was the Decumanus Maximus, the main east-west street in the city, crossing the Cardo, Unioninkatu (Union Street) at the corner of the Senate Square.The street begins near the Presidential Palace and continues to meet with Mannerheimintie, the longest street in Helsinki. It runs past several famous buildings, such as Ritarihuone (the seat of Finnish nobility), the Helsinki Cathedral, the Finnish main office of the Nordea bank, the main building of the University of Helsinki, and the Stockmann department store.",https://upload.wikimedia.org/wikipedia/commons/7/7f/Aleksanterinkatualeksanteri.JPG,cultural,60.16898,24.948771
Finland,Helsinki,Guard Manege,Q11868816,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Kaartin maneesi on Helsingin keskustassa Kaartinkaupungissa Kasarmikatu 15:ssä sijaitseva hallirakennus, joka rakennettiin vuosina 1875–1877 alun perin Suomen kaartin harjoitushalliksi. Myöhemmin se toimi näyttelytilana, ja vuodesta 1952 se on ollut autohallina.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Kaartin_maneesi.jpg,historic_architecture,60.162903,24.948948
Finland,Helsinki,Main Building Helsinki University,N1007988759,"historic_architecture,architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures","Helsingin yliopiston päärakennus on vuonna 1832 valmistunut, Carl Ludvig Engelin suunnittelema empirerakennus Helsingin Senaatintorilla. Rakennus kuuluu Engelin keskeisimpiin töihin. Se laajennettiin 1930-luvulla korttelin kokoiseksi arkkitehti J. S. Sirénin suunnitelmien mukaan.Päärakennuksen korttelia rajoittavat Senaatintorin länsireunaa pitkin kulkeva osa Unioninkatua sekä Aleksanterinkatu, Fabianinkatu ja Yliopistonkatu. Se muodostaa useiden sen länsi- ja pohjoispuolella olevien rakennusten kanssa Helsingin yliopiston keskustakampuksen.",https://upload.wikimedia.org/wikipedia/commons/5/52/Helsingin_yliopiston_p%C3%A4%C3%A4rakennus.jpg,historic_architecture,60.169155,24.950022
Finland,Helsinki,Mikael Agricola Church,W123832057,"religion,churches,historical_places,cathedrals,historic,interesting_places,historic_settlements,other_churches","Mikael Agricola Church (Finnish: Mikael Agricolan kirkko, Swedish: Mikael Agricola kyrka) is a Lutheran church located in the Punavuori district of Helsinki, Finland. It was designed by Lars Sonck and built between 1933 and 1935. The church was inaugurated on 14 April 1935. It is named after bishop Mikael Agricola.",https://upload.wikimedia.org/wikipedia/commons/6/65/Helsinki_Mikael_Agricola_church.jpg,religion,60.158329,24.939045
Finland,Helsinki,Surgical Hospital,Q3145262,"historic_architecture,architecture,interesting_places,other_buildings_and_structures","Helsingin Kirurginen sairaala (ruots. Kirurgiska sjukhuset), josta usein käytetään lyhempää nimeä Kirurgi (ruots. Kirurgen) tai lempinimeä Kirra on Helsingin Ullanlinnassa Tähtitorninmäen puistoalueen reunassa, Kasarmikadun varrella sijaitseva sairaala. Se kuuluu hallinnollisesti Helsingin yliopistolliseen keskussairaalaan. Nykyisin sairaalassa toimii Suu-ja leukasairaudet, Korvaklinikka lukuun ottamatta Foniatrian poliklinikoita, jotka ovat edelleen silmä-korva-sairaalassa HYKSin Meilahden sairaala-alueella. Sairaalassa on lisäksi rintarauhaskirurgian toimintoja.",https://upload.wikimedia.org/wikipedia/commons/2/27/Kirurgen_II_Helsinki.jpg,historic_architecture,60.161667,24.948833
